timestamp, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/08/24 20:03:20.749, NVIDIA A800 80GB PCIe, 99 %, 25 %, 19239 MiB, 81920 MiB, 315.42 W
2026/08/24 20:03:21.749, NVIDIA A800 80GB PCIe, 98 %, 20 %, 19239 MiB, 81920 MiB, 279.03 W
2026/08/24 20:03:22.749, NVIDIA A800 80GB PCIe, 99 %, 26 %, 19239 MiB, 81920 MiB, 279.64 W
2026/08/24 20:03:23.749, NVIDIA A800 80GB PCIe, 99 %, 19 %, 19239 MiB, 81920 MiB, 303.16 W
2026/08/24 20:03:24.749, NVIDIA A800 80GB PCIe, 98 %, 24 %, 19239 MiB, 81920 MiB, 292.45 W
2026/08/24 20:03:25.749, NVIDIA A800 80GB PCIe, 99 %, 20 %, 19239 MiB, 81920 MiB, 311.27 W
2026/08/24 20:03:26.749, NVIDIA A800 80GB PCIe, 98 %, 25 %, 19239 MiB, 81920 MiB, 298.86 W
2026/08/24 20:03:27.750, NVIDIA A800 80GB PCIe, 99 %, 20 %, 19239 MiB, 81920 MiB, 290.99 W
2026/08/24 20:03:28.750, NVIDIA A800 80GB PCIe, 97 %, 24 %, 19239 MiB, 81920 MiB, 285.84 W
2026/08/24 20:03:29.750, NVIDIA A800 80GB PCIe, 99 %, 20 %, 19239 MiB, 81920 MiB, 297.93 W
2026/08/24 20:03:30.750, NVIDIA A800 80GB PCIe, 97 %, 23 %, 19239 MiB, 81920 MiB, 281.64 W
2026/08/24 20:03:31.750, NVIDIA A800 80GB PCIe, 99 %, 20 %, 19239 MiB, 81920 MiB, 297.69 W
2026/08/24 20:03:32.750, NVIDIA A800 80GB PCIe, 98 %, 21 %, 19239 MiB, 81920 MiB, 314.39 W
2026/08/24 20:03:33.751, NVIDIA A800 80GB PCIe, 99 %, 21 %, 19239 MiB, 81920 MiB, 238.58 W
2026/08/24 20:03:34.751, NVIDIA A800 80GB PCIe, 98 %, 21 %, 19239 MiB, 81920 MiB, 288.88 W
2026/08/24 20:03:35.751, NVIDIA A800 80GB PCIe, 99 %, 20 %, 19239 MiB, 81920 MiB, 306.39 W
2026/08/24 20:03:36.751, NVIDIA A800 80GB PCIe, 98 %, 24 %, 19239 MiB, 81920 MiB, 275.33 W
2026/08/24 20:03:37.751, NVIDIA A800 80GB PCIe, 99 %, 20 %, 19239 MiB, 81920 MiB, 296.61 W
2026/08/24 20:03:38.751, NVIDIA A800 80GB PCIe, 97 %, 24 %, 19239 MiB, 81920 MiB, 305.45 W
2026/08/24 20:03:39.752, NVIDIA A800 80GB PCIe, 99 %, 20 %, 19239 MiB, 81920 MiB, 224.95 W
2026/08/24 20:03:40.752, NVIDIA A800 80GB PCIe, 97 %, 24 %, 19239 MiB, 81920 MiB, 312.62 W
2026/08/24 20:03:41.752, NVIDIA A800 80GB PCIe, 99 %, 20 %, 19239 MiB, 81920 MiB, 295.20 W
2026/08/24 20:03:42.752, NVIDIA A800 80GB PCIe, 97 %, 23 %, 19239 MiB, 81920 MiB, 299.07 W
2026/08/24 20:03:43.752, NVIDIA A800 80GB PCIe, 91 %, 18 %, 19239 MiB, 81920 MiB, 320.80 W
2026/08/24 20:03:44.752, NVIDIA A800 80GB PCIe, 98 %, 21 %, 19239 MiB, 81920 MiB, 325.71 W
2026/08/24 20:03:45.752, NVIDIA A800 80GB PCIe, 99 %, 21 %, 19239 MiB, 81920 MiB, 301.69 W
2026/08/24 20:03:46.752, NVIDIA A800 80GB PCIe, 98 %, 21 %, 19239 MiB, 81920 MiB, 303.07 W
2026/08/24 20:03:47.753, NVIDIA A800 80GB PCIe, 99 %, 22 %, 19239 MiB, 81920 MiB, 261.60 W
2026/08/24 20:03:48.753, NVIDIA A800 80GB PCIe, 100 %, 38 %, 19239 MiB, 81920 MiB, 300.53 W
